timestamp,cpu_percent,memory_mb,memory_percent
1764535799,0.33,1004KiB,1004000.00
1764535802,1.31,1.48,37.00
1764535805,22.50,4.832,120.80
1764535807,44.70,9.719,242.97
1764535810,74.34,15.54,388.50
1764535813,97.86,62.25,1556.25
1764535816,88.03,96.3,2407.50
1764535818,83.22,99.45,2486.25
1764535821,85.29,72.05,1801.25
1764535824,76.34,33.16,829.00
1764535827,48.53,26.57,664.25
1764535829,47.86,26.81,670.25
1764535832,44.46,26.81,670.25
1764535835,46.99,26.81,670.25
1764535838,46.97,26.57,664.25
1764535840,50.10,26.57,664.25
1764535843,45.62,26.57,664.25
1764535846,48.26,26.57,664.25
1764535849,46.85,26.57,664.25
1764535851,47.44,26.57,664.25
1764535855,46.34,26.57,664.25
1764535857,44.68,26.57,664.25
1764535860,44.77,26.57,664.25
1764535863,45.42,26.57,664.25
1764535866,46.27,26.57,664.25
1764535868,45.34,27.61,690.25
1764535871,48.62,27.61,690.25
1764535874,45.32,27.36,684.00
1764535877,45.70,27.94,698.50
1764535879,45.26,27.94,698.50
